,AllOpen_F1,AllOpen_accuracy,AllOpen_fn,AllOpen_fp,AllOpen_tn,AllOpen_tp,BeCertain_F1,BeCertain_accuracy,BeCertain_fn,BeCertain_fp,BeCertain_tn,BeCertain_tp,BelieveInfo_F1,BelieveInfo_accuracy,BelieveInfo_fn,BelieveInfo_fp,BelieveInfo_tn,BelieveInfo_tp,WondowLess_F1,WondowLess_accuracy,WondowLess_fn,WondowLess_fp,WondowLess_tn,WondowLess_tp,loss,total_accuracy,global_step
0,0.5387889742851257,0.512499988079071,1722.0,2178.0,1822.0,2278.0,0.5444912910461426,0.5271250009536743,1739.0,2044.0,1956.0,2261.0,0.5106382966041565,0.5170000195503235,1984.0,1880.0,2120.0,2016.0,0.5218562483787537,0.5118749737739563,1869.0,2036.0,1964.0,2131.0,0.7120030522346497,0.5171250104904175,0
1,0.49992111325263977,0.6038749814033508,2416.0,753.0,3247.0,1584.0,0.6642628312110901,0.6857500076293945,1513.0,1001.0,2999.0,2487.0,0.5898293852806091,0.6783750057220459,2150.0,423.0,3577.0,1850.0,0.4770730435848236,0.5908750295639038,2507.0,766.0,3234.0,1493.0,0.6248146891593933,0.639718770980835,100
2,0.7626205682754517,0.7078750133514404,246.0,2091.0,1909.0,3754.0,0.6952789425849915,0.6183750033378601,517.0,2536.0,1464.0,3483.0,0.7792376279830933,0.7437499761581421,382.0,1668.0,2332.0,3618.0,0.7529816031455994,0.6945000290870667,275.0,2169.0,1831.0,3725.0,0.6093088388442993,0.6911249756813049,200
3,0.6922446489334106,0.7182499766349792,1465.0,789.0,3211.0,2535.0,0.6732174754142761,0.6591249704360962,1191.0,1536.0,2464.0,2809.0,0.729652464389801,0.7753750085830688,1575.0,222.0,3778.0,2425.0,0.6771783828735352,0.7082499861717224,1552.0,782.0,3218.0,2448.0,0.5289710164070129,0.7152500152587891,300
4,0.8159239292144775,0.8017500042915344,485.0,1101.0,2899.0,3515.0,0.7434532642364502,0.6987500190734863,508.0,1902.0,2098.0,3492.0,0.8633509278297424,0.8640000224113464,563.0,525.0,3475.0,3437.0,0.8096571564674377,0.7960000038146973,529.0,1103.0,2897.0,3471.0,0.42540186643600464,0.7901250123977661,400
5,0.8351126313209534,0.8262500166893005,480.0,910.0,3090.0,3520.0,0.7869248986244202,0.8019999861717224,1075.0,509.0,3491.0,2925.0,0.8852105140686035,0.8803750276565552,310.0,647.0,3353.0,3690.0,0.8328068852424622,0.8213750123977661,441.0,988.0,3012.0,3559.0,0.38482576608657837,0.8324999809265137,500
6,0.8588781356811523,0.8402500152587891,111.0,1167.0,2833.0,3889.0,0.8227468132972717,0.7935000061988831,166.0,1486.0,2514.0,3834.0,0.9154979586601257,0.9103749990463257,116.0,601.0,3399.0,3884.0,0.8555604815483093,0.8370000123977661,138.0,1166.0,2834.0,3862.0,0.34114477038383484,0.8452812433242798,600
7,0.8649540543556213,0.8567500114440918,330.0,816.0,3184.0,3670.0,0.8309253454208374,0.8083750009536743,233.0,1300.0,2700.0,3767.0,0.9159235954284668,0.9175000190734863,405.0,255.0,3745.0,3595.0,0.863582968711853,0.8547499775886536,322.0,840.0,3160.0,3678.0,0.30298081040382385,0.8593437671661377,700
8,0.8848653435707092,0.8759999871253967,188.0,804.0,3196.0,3812.0,0.811926007270813,0.8233749866485596,950.0,463.0,3537.0,3050.0,0.9448552131652832,0.9431250095367432,102.0,353.0,3647.0,3898.0,0.8776645064353943,0.8679999709129333,212.0,844.0,3156.0,3788.0,0.2774490416049957,0.8776249885559082,800
9,0.8815581798553467,0.8684999942779541,85.0,967.0,3033.0,3915.0,0.8351390957832336,0.8421249985694885,801.0,462.0,3538.0,3199.0,0.9340066313743591,0.9297500252723694,23.0,539.0,3461.0,3977.0,0.8792292475700378,0.8652499914169312,76.0,1002.0,2998.0,3924.0,0.28175848722457886,0.8764062523841858,900
10,0.8967326879501343,0.8917499780654907,240.0,626.0,3374.0,3760.0,0.872647225856781,0.8697500228881836,430.0,612.0,3388.0,3570.0,0.9536920785903931,0.9537500143051147,190.0,180.0,3820.0,3810.0,0.8848398327827454,0.8791249990463257,285.0,682.0,3318.0,3715.0,0.236330047249794,0.8985937237739563,1000
11,0.8975265026092529,0.8912500143051147,190.0,680.0,3320.0,3810.0,0.8219251036643982,0.8335000276565552,926.0,406.0,3594.0,3074.0,0.9583543539047241,0.9587500095367432,203.0,127.0,3873.0,3797.0,0.8962962627410889,0.8880000114440918,128.0,768.0,3232.0,3872.0,0.24907313287258148,0.8928750157356262,1100
12,0.9024216532707214,0.8972499966621399,199.0,623.0,3377.0,3801.0,0.8871858716011047,0.8877500295639038,469.0,429.0,3571.0,3531.0,0.9632082581520081,0.9624999761581421,73.0,227.0,3773.0,3927.0,0.8986629247665405,0.8920000195503235,169.0,695.0,3305.0,3831.0,0.21709218621253967,0.9098749756813049,1200
13,0.9022887945175171,0.8948749899864197,117.0,724.0,3276.0,3883.0,0.8848267197608948,0.8794999718666077,297.0,667.0,3333.0,3703.0,0.9656199216842651,0.9653750061988831,110.0,167.0,3833.0,3890.0,0.8964083790779114,0.8878750205039978,119.0,778.0,3222.0,3881.0,0.21846969425678253,0.906906247138977,1300
14,0.8925762176513672,0.890749990940094,369.0,505.0,3495.0,3631.0,0.8902469873428345,0.8922500014305115,504.0,358.0,3642.0,3496.0,0.9544525742530823,0.9526249766349792,29.0,350.0,3650.0,3971.0,0.8870110511779785,0.8830000162124634,326.0,610.0,3390.0,3674.0,0.22435390949249268,0.9046562314033508,1400
