,AllOpen_F1,AllOpen_accuracy,AllOpen_fn,AllOpen_fp,AllOpen_tn,AllOpen_tp,BeCertain_F1,BeCertain_accuracy,BeCertain_fn,BeCertain_fp,BeCertain_tn,BeCertain_tp,BelieveInfo_F1,BelieveInfo_accuracy,BelieveInfo_fn,BelieveInfo_fp,BelieveInfo_tn,BelieveInfo_tp,WondowLess_F1,WondowLess_accuracy,WondowLess_fn,WondowLess_fp,WondowLess_tn,WondowLess_tp,loss,total_accuracy,global_step
0,0.6205642819404602,0.5041249990463257,756.0,3211.0,789.0,3244.0,0.5943282246589661,0.4957500100135803,1045.0,2989.0,1011.0,2955.0,0.6289234757423401,0.5256249904632568,784.0,3011.0,989.0,3216.0,0.6179469227790833,0.5268750190734863,939.0,2846.0,1154.0,3061.0,0.7200961709022522,0.5130937695503235,0
1,0.5630784630775452,0.5515000224113464,1688.0,1900.0,2100.0,2312.0,0.5757687091827393,0.5671250224113464,1650.0,1813.0,2187.0,2350.0,0.5863125920295715,0.5950000286102295,1704.0,1536.0,2464.0,2296.0,0.5469886064529419,0.5637500286102295,1893.0,1597.0,2403.0,2107.0,0.6794174313545227,0.5693437457084656,50
2,0.7224407196044922,0.6383749842643738,235.0,2658.0,1342.0,3765.0,0.6895451545715332,0.5861250162124634,323.0,2988.0,1012.0,3677.0,0.7348261475563049,0.6728749871253967,374.0,2243.0,1757.0,3626.0,0.7240058779716492,0.6486250162124634,313.0,2498.0,1502.0,3687.0,0.671392560005188,0.6365000009536743,100
3,0.6808675527572632,0.6909999847412109,1363.0,1109.0,2891.0,2637.0,0.6662077307701111,0.6363750100135803,1097.0,1812.0,2188.0,2903.0,0.7376636862754822,0.7521250247955322,1212.0,771.0,3229.0,2788.0,0.6838139891624451,0.6957499980926514,1368.0,1066.0,2934.0,2632.0,0.575303316116333,0.6938124895095825,150
4,0.7006750106811523,0.7117499709129333,1301.0,1005.0,2995.0,2699.0,0.6687012314796448,0.6336249709129333,1042.0,1889.0,2111.0,2958.0,0.7377440929412842,0.7666249871253967,1374.0,493.0,3507.0,2626.0,0.7189525365829468,0.7236250042915344,1172.0,1039.0,2961.0,2828.0,0.5641642808914185,0.7089062333106995,200
5,0.7761194109916687,0.7524999976158142,568.0,1412.0,2588.0,3432.0,0.6880675554275513,0.6307500004768372,742.0,2212.0,1788.0,3258.0,0.7954656481742859,0.7902500033378601,737.0,941.0,3059.0,3263.0,0.774223268032074,0.7547500133514404,636.0,1326.0,2674.0,3364.0,0.5322332978248596,0.7320625185966492,250
6,0.7530627250671387,0.7429999709129333,865.0,1191.0,2809.0,3135.0,0.7184779644012451,0.6726250052452087,658.0,1961.0,2039.0,3342.0,0.7897928357124329,0.7919999957084656,874.0,790.0,3210.0,3126.0,0.7465980648994446,0.7416250109672546,955.0,1112.0,2888.0,3045.0,0.4987388849258423,0.7373124957084656,300
7,0.7625841498374939,0.7753750085830688,1114.0,683.0,3317.0,2886.0,0.6330548524856567,0.6761249899864197,1765.0,826.0,3174.0,2235.0,0.8315621614456177,0.8414999842643738,870.0,398.0,3602.0,3130.0,0.7640508413314819,0.7774999737739563,1118.0,662.0,3338.0,2882.0,0.4757448434829712,0.7676249742507935,350
8,0.6021199226379395,0.6856250166893005,2097.0,418.0,3582.0,1903.0,0.7939937114715576,0.8044999837875366,986.0,578.0,3422.0,3014.0,0.7207234501838684,0.7683749794960022,1609.0,244.0,3756.0,2391.0,0.6184538006782532,0.6940000057220459,2016.0,432.0,3568.0,1984.0,0.4899158775806427,0.7381250262260437,400
9,0.8051493167877197,0.8051249980926514,779.0,780.0,3220.0,3221.0,0.7784619331359863,0.7706249952316284,776.0,1059.0,2941.0,3224.0,0.8580091595649719,0.8653749823570251,746.0,331.0,3669.0,3254.0,0.8011105060577393,0.8029999732971191,826.0,750.0,3250.0,3174.0,0.39427343010902405,0.8110312223434448,450
