,AllOpen_F1,AllOpen_accuracy,AllOpen_fn,AllOpen_fp,AllOpen_tn,AllOpen_tp,BeCertain_F1,BeCertain_accuracy,BeCertain_fn,BeCertain_fp,BeCertain_tn,BeCertain_tp,BelPart_F1,BelPart_accuracy,BelPart_fn,BelPart_fp,BelPart_tn,BelPart_tp,WondowLess_F1,WondowLess_accuracy,WondowLess_fn,WondowLess_fp,WondowLess_tn,WondowLess_tp,loss,total_accuracy,global_step
0,0.4354107677936554,0.5017499923706055,2463.0,1523.0,2477.0,1537.0,0.37328284978866577,0.5038750171661377,2818.0,1151.0,2849.0,1182.0,0.4375442862510681,0.5041249990463257,2457.0,1510.0,2490.0,1543.0,0.4724367558956146,0.5047500133514404,2226.0,1736.0,2264.0,1774.0,0.7290505766868591,0.5036249756813049,1
1,0.6815717816352844,0.6474999785423279,982.0,1838.0,2162.0,3018.0,0.6863073706626892,0.6259999871253967,727.0,2265.0,1735.0,3273.0,0.6932013630867004,0.6434999704360962,778.0,2074.0,1926.0,3222.0,0.7022671103477478,0.6536250114440918,732.0,2039.0,1961.0,3268.0,0.6256263256072998,0.6426562666893005,101
2,0.5781910419464111,0.6257500052452087,1948.0,1046.0,2954.0,2052.0,0.7292516231536865,0.7263749837875366,1052.0,1137.0,2863.0,2948.0,0.7200811505317688,0.7239999771118164,1160.0,1048.0,2952.0,2840.0,0.6007816791534424,0.6424999833106995,1848.0,1012.0,2988.0,2152.0,0.5764287710189819,0.6796562671661377,201
3,0.7760478854179382,0.7428749799728394,436.0,1621.0,2379.0,3564.0,0.7241162657737732,0.6702499985694885,538.0,2100.0,1900.0,3462.0,0.7356126308441162,0.6887500286102295,536.0,1954.0,2046.0,3464.0,0.7789072394371033,0.7390000224113464,322.0,1766.0,2234.0,3678.0,0.5482591390609741,0.7102187275886536,301
4,0.40863916277885437,0.6132500171661377,2931.0,163.0,3837.0,1069.0,0.7688493132591248,0.8018749952316284,1364.0,221.0,3779.0,2636.0,0.7135526537895203,0.7627500295639038,1636.0,262.0,3738.0,2364.0,0.40268200635910034,0.6102499961853027,2949.0,169.0,3831.0,1051.0,0.534971296787262,0.6970312595367432,401
5,0.787395715713501,0.7832499742507935,789.0,945.0,3055.0,3211.0,0.8237864375114441,0.8184999823570251,606.0,846.0,3154.0,3394.0,0.7789828777313232,0.7707499861717224,768.0,1066.0,2934.0,3232.0,0.7864474058151245,0.7841249704360962,820.0,907.0,3093.0,3180.0,0.4417497515678406,0.7891562581062317,501
6,0.8073717951774597,0.7948750257492065,561.0,1080.0,2920.0,3439.0,0.8277764320373535,0.812749981880188,400.0,1098.0,2902.0,3600.0,0.7839887738227844,0.768625020980835,641.0,1210.0,2790.0,3359.0,0.8074607253074646,0.7961249947547913,580.0,1051.0,2949.0,3420.0,0.43033257126808167,0.793093740940094,601
7,0.803350567817688,0.809249997138977,883.0,643.0,3357.0,3117.0,0.8452548980712891,0.8493750095367432,709.0,496.0,3504.0,3291.0,0.794951856136322,0.8029999732971191,945.0,631.0,3369.0,3055.0,0.7941825985908508,0.8018749952316284,942.0,643.0,3357.0,3058.0,0.3827260136604309,0.8158749938011169,701
8,0.8012880682945251,0.8148750066757202,1014.0,467.0,3533.0,2986.0,0.8502117395401001,0.8541250228881836,688.0,479.0,3521.0,3312.0,0.7996330857276917,0.8088750243186951,949.0,580.0,3420.0,3051.0,0.787440299987793,0.8053749799728394,1116.0,441.0,3559.0,2884.0,0.3676301836967468,0.8208125233650208,801
9,0.8330363631248474,0.8360000252723694,727.0,585.0,3415.0,3273.0,0.7338454723358154,0.7791249752044678,1564.0,203.0,3797.0,2436.0,0.6890550851821899,0.7453749775886536,1743.0,294.0,3706.0,2257.0,0.8311655521392822,0.8328750133514404,709.0,628.0,3372.0,3291.0,0.40618038177490234,0.7983437776565552,901
10,0.8619310259819031,0.8619999885559082,554.0,550.0,3450.0,3446.0,0.8444204330444336,0.8558750152587891,871.0,282.0,3718.0,3129.0,0.8004980087280273,0.8197500109672546,1107.0,335.0,3665.0,2893.0,0.8520472645759583,0.8527500033378601,608.0,570.0,3430.0,3392.0,0.3277350068092346,0.8475937247276306,1001
11,0.8788087368011475,0.8677499890327454,164.0,894.0,3106.0,3836.0,0.8790596723556519,0.875249981880188,373.0,625.0,3375.0,3627.0,0.8370451331138611,0.8326249718666077,561.0,778.0,3222.0,3439.0,0.8781435489654541,0.8667500019073486,159.0,907.0,3093.0,3841.0,0.3045920729637146,0.8605937361717224,1101
12,0.8822988271713257,0.871999979019165,162.0,862.0,3138.0,3838.0,0.887005627155304,0.8849999904632568,389.0,531.0,3469.0,3611.0,0.8427218794822693,0.8422499895095825,619.0,643.0,3357.0,3381.0,0.8853591084480286,0.8755000233650208,154.0,842.0,3158.0,3846.0,0.2912827432155609,0.8686875104904175,1201
13,0.8877550959587097,0.8762500286102295,85.0,905.0,3095.0,3915.0,0.885768711566925,0.8799999952316284,278.0,682.0,3318.0,3722.0,0.8371647596359253,0.8299999833106995,504.0,856.0,3144.0,3496.0,0.8907048106193542,0.8796250224113464,76.0,887.0,3113.0,3924.0,0.2924547791481018,0.8664687275886536,1301
14,0.8922033905982971,0.8807500004768372,52.0,902.0,3098.0,3948.0,0.8935909271240234,0.8912500143051147,347.0,523.0,3477.0,3653.0,0.8491811752319336,0.8457499742507935,526.0,708.0,3292.0,3474.0,0.8950763940811157,0.8841249942779541,46.0,881.0,3119.0,3954.0,0.2746613621711731,0.8754687309265137,1401
