,BeWrong_accuracy,Knopinion_accuracy,Know_accuracy,Opiknow_accuracy,global_step,loss,total_accuracy
0,0.5239999890327454,0.4948750138282776,0.4807499945163727,0.4814999997615814,1,0.6978487968444824,0.49528124928474426
1,0.4828749895095825,0.5218750238418579,0.5133749842643738,0.5195000171661377,51,0.7105554342269897,0.5094062685966492
2,0.30024999380111694,0.6796249747276306,0.7043750286102295,0.6892499923706055,101,0.6714483499526978,0.593375027179718
3,0.30287501215934753,0.6883749961853027,0.7179999947547913,0.6919999718666077,151,0.6626979112625122,0.6003124713897705
4,0.20524999499320984,0.7409999966621399,0.8071249723434448,0.765749990940094,201,0.632636308670044,0.6297812461853027
5,0.22087499499320984,0.7567499876022339,0.8151249885559082,0.7753750085830688,251,0.6046985387802124,0.6420312523841858
6,0.1770000010728836,0.7825000286102295,0.8165000081062317,0.7927500009536743,301,0.5769159197807312,0.6421874761581421
7,0.4987500011920929,0.7046250104904175,0.7609999775886536,0.7176250219345093,351,0.5508013367652893,0.6704999804496765
8,0.5173749923706055,0.8013749718666077,0.8497499823570251,0.7988749742507935,401,0.49849626421928406,0.7418437600135803
9,0.8022500276565552,0.7678750157356262,0.8141250014305115,0.7807499766349792,451,0.44813358783721924,0.7912499904632568
10,0.8519999980926514,0.793874979019165,0.8550000190734863,0.8048750162124634,501,0.38551053404808044,0.8264374732971191
11,0.8414999842643738,0.7714999914169312,0.8486250042915344,0.7925000190734863,551,0.4022945165634155,0.8135312795639038
12,0.8232499957084656,0.7977499961853027,0.844124972820282,0.8097500205039978,601,0.38862690329551697,0.8187187314033508
13,0.8339999914169312,0.7684999704360962,0.8475000262260437,0.796500027179718,651,0.3916108012199402,0.8116250038146973
14,0.8673750162124634,0.8038750290870667,0.8840000033378601,0.8184999823570251,701,0.3642752170562744,0.8434374928474426
15,0.8634999990463257,0.8083750009536743,0.8732500076293945,0.8096250295639038,751,0.3816312551498413,0.8386874794960022
16,0.8756250143051147,0.8136249780654907,0.8868749737739563,0.8221250176429749,801,0.3424992561340332,0.8495625257492065
17,0.8851249814033508,0.8148750066757202,0.8913750052452087,0.8223749995231628,851,0.317457914352417,0.8534374833106995
18,0.8861250281333923,0.8142499923706055,0.8880000114440918,0.8291249871253967,901,0.3243039846420288,0.8543750047683716
19,0.8808749914169312,0.8227499723434448,0.8790000081062317,0.8289999961853027,951,0.3283047378063202,0.8529062271118164
20,0.878000020980835,0.8144999742507935,0.8918750286102295,0.8276249766349792,1001,0.3249753713607788,0.8529999852180481
21,0.8887500166893005,0.8215000033378601,0.890999972820282,0.8330000042915344,1051,0.31366443634033203,0.8585625290870667
22,0.8847500085830688,0.8224999904632568,0.8945000171661377,0.8306249976158142,1101,0.3059608042240143,0.8580937385559082
23,0.8341249823570251,0.8096250295639038,0.8889999985694885,0.8187500238418579,1151,0.33315330743789673,0.8378750085830688
24,0.871749997138977,0.7904999852180481,0.8832499980926514,0.8192499876022339,1201,0.33479857444763184,0.8411874771118164
25,0.8834999799728394,0.8023750185966492,0.8838750123977661,0.824874997138977,1251,0.32518553733825684,0.8486562371253967
26,0.8989999890327454,0.8209999799728394,0.8985000252723694,0.831250011920929,1301,0.30449607968330383,0.8624374866485596
27,0.8855000138282776,0.8227499723434448,0.9016249775886536,0.8367499709129333,1351,0.3059658110141754,0.8616562485694885
28,0.875374972820282,0.8234999775886536,0.8976250290870667,0.8366249799728394,1401,0.3114922046661377,0.8582812547683716
29,0.893875002861023,0.8183749914169312,0.8958749771118164,0.8358749747276306,1451,0.30871281027793884,0.8610000014305115
30,0.8934999704360962,0.8032500147819519,0.8974999785423279,0.8377500176429749,1501,0.3085756301879883,0.8579999804496765
31,0.8634999990463257,0.8217499852180481,0.8995000123977661,0.8410000205039978,1551,0.3174089789390564,0.8564375042915344
32,0.8977500200271606,0.8205000162124634,0.909250020980835,0.8412500023841858,1601,0.29495128989219666,0.8671875
33,0.8728749752044678,0.8097500205039978,0.8981249928474426,0.8320000171661377,1651,0.31692925095558167,0.8531875014305115
34,0.8993750214576721,0.825124979019165,0.9038749933242798,0.8452500104904175,1701,0.2918057441711426,0.8684062361717224
35,0.8951249718666077,0.8258749842643738,0.9037500023841858,0.8454999923706055,1751,0.2935941219329834,0.867562472820282
36,0.8946250081062317,0.8252500295639038,0.9010000228881836,0.8401250243186951,1801,0.3035595715045929,0.8652499914169312
37,0.8963750004768372,0.8158749938011169,0.8893749713897705,0.8327500224113464,1851,0.30095818638801575,0.858593761920929
38,0.8953750133514404,0.8215000033378601,0.9017500281333923,0.8473749756813049,1901,0.3047168552875519,0.8665000200271606
39,0.9008749723434448,0.8231250047683716,0.906499981880188,0.8452500104904175,1951,0.28841090202331543,0.8689374923706055
40,0.8843749761581421,0.824874997138977,0.8934999704360962,0.8386250138282776,2001,0.310154527425766,0.8603437542915344
41,0.9011250138282776,0.8268749713897705,0.8947499990463257,0.8353750109672546,2051,0.2925058603286743,0.8645312786102295
42,0.9028750061988831,0.8153749704360962,0.8972499966621399,0.8422499895095825,2101,0.29347869753837585,0.8644375205039978
43,0.9056249856948853,0.8226249814033508,0.909500002861023,0.8491250276565552,2151,0.28382566571235657,0.8717187643051147
44,0.9036250114440918,0.8167499899864197,0.878250002861023,0.8305000066757202,2201,0.30330583453178406,0.8572812676429749
45,0.9042500257492065,0.8213750123977661,0.9035000205039978,0.8492500185966492,2251,0.28653135895729065,0.8695937395095825
46,0.9021250009536743,0.8234999775886536,0.9091249704360962,0.8471249938011169,2301,0.28715747594833374,0.8704687356948853
47,0.8960000276565552,0.8243749737739563,0.906499981880188,0.8491250276565552,2351,0.29076579213142395,0.8690000176429749
48,0.9042500257492065,0.8199999928474426,0.9078750014305115,0.8466249704360962,2401,0.2871834337711334,0.8696874976158142
49,0.890375018119812,0.8230000138282776,0.9110000133514404,0.8507500290870667,2451,0.2867799401283264,0.8687812685966492
50,0.8956249952316284,0.8228750228881836,0.906624972820282,0.8506249785423279,2501,0.29045408964157104,0.8689374923706055
