,BeCertain_F1,BeCertain_accuracy,Knopinion_F1,Knopinion_accuracy,Know_F1,Know_accuracy,Wondows_F1,Wondows_accuracy,global_step,loss,total_accuracy
0,0.5007331967353821,0.5318750143051147,0.508492112159729,0.5261250138282776,0.44637933373451233,0.5231249928474426,0.4665226638317108,0.5059999823570251,1,0.7147479057312012,0.5217812657356262
1,0.5720661282539368,0.5924999713897705,0.5571854710578918,0.5736250281333923,0.4901474416255951,0.5633749961853027,0.4898996651172638,0.5486249923706055,51,0.6809227466583252,0.569531261920929
2,0.6890974640846252,0.5818750262260437,0.6803225874900818,0.5688750147819519,0.7067429423332214,0.609125018119812,0.6996425986289978,0.6113749742507935,101,0.7066904306411743,0.5928124785423279
3,0.7295098900794983,0.6840000152587891,0.7092885971069336,0.6623749732971191,0.7304329872131348,0.687874972820282,0.6406359672546387,0.6157500147819519,151,0.5989252328872681,0.6625000238418579
4,0.7451320290565491,0.7791249752044678,0.6904974579811096,0.7402499914169312,0.689397394657135,0.7403749823570251,0.46668970584869385,0.6137499809265137,201,0.5733383297920227,0.718375027179718
5,0.7703337669372559,0.7557500004768372,0.732951283454895,0.7146250009536743,0.7608569860458374,0.7418749928474426,0.6111320853233337,0.6131250262260437,251,0.5645756721496582,0.7063437700271606
6,0.7597803473472595,0.7321249842643738,0.7267404198646545,0.6850000023841858,0.7581380009651184,0.7278749942779541,0.6593018174171448,0.6144999861717224,301,0.5638445019721985,0.6898750066757202
7,0.7857046127319336,0.8036249876022339,0.7351455092430115,0.7576249837875366,0.7369611859321594,0.7673749923706055,0.5057095885276794,0.6212499737739563,351,0.51082444190979,0.7374687790870667
8,0.7687418460845947,0.799875020980835,0.7224478125572205,0.7607499957084656,0.7219022512435913,0.7646250128746033,0.4657871723175049,0.6203749775886536,401,0.5118060111999512,0.7364062666893005
9,0.7993197441101074,0.7935000061988831,0.7638440728187561,0.7622500061988831,0.7768491506576538,0.7763749957084656,0.5399628281593323,0.6287500262260437,451,0.5028858780860901,0.7402187585830688
10,0.8040924668312073,0.8061249852180481,0.7605351805686951,0.7606250047683716,0.7753459811210632,0.7767500281333923,0.7046063542366028,0.6833750009536743,501,0.48912712931632996,0.7567187547683716
11,0.7704048752784729,0.7292500138282776,0.7472663521766663,0.6937500238418579,0.7747992277145386,0.7301250100135803,0.6017585396766663,0.6150000095367432,551,0.6421869397163391,0.6920312643051147
12,0.7757506370544434,0.8048750162124634,0.730056881904602,0.768625020980835,0.7332155704498291,0.7735000252723694,0.4673503041267395,0.6298750042915344,601,0.49646422266960144,0.7442187666893005
13,0.7978796362876892,0.8141250014305115,0.7496238946914673,0.7711250185966492,0.7555494904518127,0.7770000100135803,0.7629919052124023,0.7275000214576721,651,0.4769618809223175,0.7724375128746033
