,BeCertain_F1,BeCertain_accuracy,BeCertain_fn,BeCertain_fp,BeCertain_tn,BeCertain_tp,Knopinion_F1,Knopinion_accuracy,Knopinion_fn,Knopinion_fp,Knopinion_tn,Knopinion_tp,Know_F1,Know_accuracy,Know_fn,Know_fp,Know_tn,Know_tp,Wondows_F1,Wondows_accuracy,Wondows_fn,Wondows_fp,Wondows_tn,Wondows_tp,global_step,loss,total_accuracy
17,0.804585158825,0.820999979973,1052.0,380.0,3620.0,2948.0,0.752543270588,0.774999976158,1263.0,537.0,3463.0,2737.0,0.781411826611,0.799499988556,1133.0,471.0,3529.0,2867.0,0.733657419682,0.753499984741,1284.0,688.0,3312.0,2716.0,850,0.434361845255,0.787249982357
18,0.796610176563,0.81400001049,1086.0,402.0,3598.0,2914.0,0.733560979366,0.76599997282,1423.0,449.0,3551.0,2577.0,0.772234916687,0.787124991417,1113.0,590.0,3410.0,2887.0,0.80450040102,0.780624985695,389.0,1366.0,2634.0,3611.0,900,0.449953317642,0.786937475204
19,0.812970221043,0.819750010967,866.0,576.0,3424.0,3134.0,0.753123342991,0.772750020027,1227.0,591.0,3409.0,2773.0,0.785677909851,0.789749979973,917.0,765.0,3235.0,3083.0,0.797010958195,0.772499978542,427.0,1393.0,2607.0,3573.0,950,0.443986833096,0.78868752718
20,0.832441687584,0.82775002718,577.0,801.0,3199.0,3423.0,0.781784117222,0.78137499094,867.0,882.0,3118.0,3133.0,0.814673185349,0.806124985218,591.0,960.0,3040.0,3409.0,0.809783220291,0.794875025749,507.0,1134.0,2866.0,3493.0,1000,0.43152192235,0.802531242371
21,0.83128631115,0.836875021458,785.0,520.0,3480.0,3215.0,0.763969600201,0.771375000477,1040.0,789.0,3211.0,2960.0,0.805261790752,0.81124997139,878.0,632.0,3368.0,3122.0,0.791296720505,0.791374981403,836.0,833.0,3167.0,3164.0,1050,0.412142425776,0.802718758583
22,0.826821506023,0.836000025272,868.0,444.0,3556.0,3132.0,0.758940756321,0.779250025749,1220.0,546.0,3454.0,2780.0,0.810591220856,0.819374978542,908.0,537.0,3463.0,3092.0,0.794897437096,0.795000016689,822.0,818.0,3182.0,3178.0,1100,0.402798950672,0.807406246662
23,0.817494213581,0.834124982357,1028.0,299.0,3701.0,2972.0,0.74592602253,0.775874972343,1368.0,425.0,3575.0,2632.0,0.790813565254,0.81099998951,1142.0,370.0,3630.0,2858.0,0.772068560123,0.783749997616,1070.0,660.0,3340.0,2930.0,1150,0.41081392765,0.801187515259
24,0.853543281555,0.848874986172,477.0,732.0,3268.0,3523.0,0.780024349689,0.774249970913,798.0,1008.0,2992.0,3202.0,0.831237852573,0.825500011444,562.0,834.0,3166.0,3438.0,0.810523867607,0.803749978542,642.0,928.0,3072.0,3358.0,1200,0.401778638363,0.813093721867
25,0.841259598732,0.846875011921,754.0,471.0,3529.0,3246.0,0.772120118141,0.784624993801,1081.0,642.0,3358.0,2919.0,0.813382148743,0.821500003338,888.0,540.0,3460.0,3112.0,0.802788853645,0.801999986172,776.0,808.0,3192.0,3224.0,1250,0.389162749052,0.81375002861
26,0.85945469141,0.858874976635,548.0,581.0,3419.0,3452.0,0.78427451849,0.784624993801,868.0,855.0,3145.0,3132.0,0.844928920269,0.841750025749,551.0,715.0,3285.0,3449.0,0.835883140564,0.823000013828,394.0,1022.0,2978.0,3606.0,1300,0.387545764446,0.827062487602
27,0.851420998573,0.833999991417,195.0,1133.0,2867.0,3805.0,0.765910625458,0.73425000906,522.0,1604.0,2396.0,3478.0,0.839052498341,0.818250000477,210.0,1244.0,2756.0,3790.0,0.822072088718,0.802500009537,350.0,1230.0,2770.0,3650.0,1350,0.435837954283,0.79724997282
28,0.863466739655,0.862749993801,528.0,570.0,3430.0,3472.0,0.781670451164,0.785000026226,921.0,799.0,3201.0,3079.0,0.837715983391,0.837999999523,655.0,641.0,3359.0,3345.0,0.608293473721,0.693000018597,2093.0,363.0,3637.0,1907.0,1400,0.4107876122,0.794687509537
29,0.804871082306,0.82775002718,1158.0,220.0,3780.0,2842.0,0.734232246876,0.770874977112,1468.0,365.0,3635.0,2532.0,0.774258315563,0.803125023842,1299.0,276.0,3724.0,2701.0,0.793683469296,0.799125015736,909.0,698.0,3302.0,3091.0,1450,0.404292613268,0.800218760967
30,0.859857499599,0.859875023365,561.0,560.0,3440.0,3439.0,0.766493439674,0.775250017643,1049.0,749.0,3251.0,2951.0,0.847625076771,0.849624991417,654.0,549.0,3451.0,3346.0,0.825447499752,0.822000026703,633.0,791.0,3209.0,3367.0,1500,0.375992536545,0.826687514782
31,0.824897408485,0.839999973774,985.0,295.0,3705.0,3015.0,0.746585726738,0.770375013351,1294.0,543.0,3457.0,2706.0,0.806447148323,0.822875022888,1048.0,369.0,3631.0,2952.0,0.811619520187,0.81112498045,745.0,766.0,3234.0,3255.0,1550,0.391774684191,0.811093747616
32,0.836625754833,0.847000002861,866.0,358.0,3642.0,3134.0,0.75344389677,0.780749976635,1320.0,434.0,3566.0,2680.0,0.821423828602,0.830375015736,879.0,478.0,3522.0,3121.0,0.842757046223,0.831749975681,393.0,953.0,3047.0,3607.0,1600,0.381729602814,0.822468757629
33,0.854269981384,0.860499978065,729.0,387.0,3613.0,3271.0,0.776186704636,0.788999974728,1073.0,615.0,3385.0,2927.0,0.83855175972,0.84337502718,746.0,507.0,3493.0,3254.0,0.833917140961,0.828125,548.0,827.0,3173.0,3452.0,1650,0.364518940449,0.830250024796
34,0.864517807961,0.865499973297,567.0,509.0,3491.0,3433.0,0.781597495079,0.783999979496,908.0,820.0,3180.0,3092.0,0.846704304218,0.847374975681,628.0,593.0,3407.0,3372.0,0.840586662292,0.832875013351,475.0,862.0,3138.0,3525.0,1700,0.368371278048,0.832437515259
